id_book,name
14952,"

تزوتان تودوروف
"
15178,"

جیمز هدلی چیس
"
4040,"

رولان بارت
"
4002,"

مارک فیشر
"
4131,"

ویلیام شکسپیر
"
4131,"

ویلیام شکسپیر
"
4131,"

ویلیام شکسپیر
"
4131,"

ویلیام شکسپیر
"
4131,"

ویلیام شکسپیر
"
4131,"

ویلیام شکسپیر
"
4306,"

وین دایر
"
4306,"

وین دایر
"
4179,"

ویلیام شکسپیر
"
4179,"

ویلیام شکسپیر
"
4201,"

جبران خلیل جبران
"
12626,"

جود ولتون
"
12600,"

میرچا الیاده
"
12600,"

میرچا الیاده
"
12539,"

جان بالدساری
"
4407,"

پل استراترن
"
12629,"
جکی گف
"
12550,"

ینس هوفمن
"
4235,"

جبران خلیل جبران
"
12647,"

اولریش مارزلف
"
4349,"

وین دایر
"
4349,"

وین دایر
"
4349,"

وین دایر
"
4190,"

ویلیام شکسپیر
"
4190,"

ویلیام شکسپیر
"
4190,"

ویلیام شکسپیر
"
4190,"

ویلیام شکسپیر
"
12596,"

اریک امانوئل اشمیت
"
12607,"

کیگو هیگاشینو
"
12512,"

جورج اورول
"
12512,"

جورج اورول
"
12464,"

تریسی شوالیه
"
12517,"

تری برت
"
4367,"

دبی فورد
"
4367,"

دیپاک چوپرا
"
4367,"

مارین ویلیامسون
"
4367,"

دبی فورد
"
4367,"

دیپاک چوپرا
"
4367,"

مارین ویلیامسون
"
4367,"

مجموعه ی نویسندگان
"
4367,"

دیپاک چوپرا
"
4367,"

دبی فورد
"
4367,"

دیپاک چوپرا
"
4367,"

مارین ویلیامسون
"
4367,"

دبی فورد
"
4367,"

دبی فورد
"
4367,"

دیپاک چوپرا
"
4367,"

مارین ویلیامسون
"
12628,"

لئونارد کوهن
"
12628,"

لئونارد کوهن
"
12628,"

لئونارد کوهن
"
4328,"

وین دایر
"
4328,"

وین دایر
"
4328,"

وین دایر
"
4328,"

وین دایر
"
4328,"

وین دایر
"
4328,"

کریستینا تریسی
"
4328,"

وین دایر
"
14511,"

اوسامو دازای
"
14511,"

اوسامو دازای
"
14600,"

نزار قبانی
"
14740,"

تادئوش روژه ویچ
"
14754,"
ژاک ماندلبام
"
14673,"

برتولت برشت
"
14724,"

ابوالحسن نجفی
"
14533,"

ژیل دلوز
"
14670,"
الستر نیون
"
14725,"

پرویز مرزبان
"
12684,"

ادوارد لوسی اسمیت
"
14649,"

آلن دوباتن
"
14649,"

آلن دوباتن
"
14590,"

آلفونس دوده
"
14540,"

لئونارد کورن
"
14540,"

لئونارد کورن
"
14588,"

مایکل دانیلز
"
14739,"

تادئوش روژه ویچ
"
14753,"

نوئل سیمسولو
"
14707,"

کله لیا کوهن
"
12685,"

ادوارد لوسی اسمیت
"
14563,"

اینگمار برگمان
"
